product_id,avg_time_between_orders,data_point_count
474,42.6753,77
478,46.8500,60
479,38.4737,19
480,50.3548,62
481,44.3889,18
486,46.9333,60
487,40.2609,46
489,40.7000,10
496,49.4444,18
497,41.7500,8
498,47.8987,158
499,37.3333,33
507,44.8767,73
508,41.8444,45
509,49.9189,37
510,47.4769,65
511,37.1604,742
512,46.7727,66
513,39.3125,16
514,47.8409,44
516,44.7917,48
517,45.2558,43
519,31.5164,122
520,40.8542,48
521,41.7931,29
522,46.0000,24
523,46.8800,25
525,44.6824,85
526,45.3898,118
527,46.1972,71
528,36.8148,27
529,45.0000,21
530,41.4000,15
531,39.2188,32
532,41.8710,31
534,40.6333,30
535,38.9844,64
536,43.6543,188
537,43.9600,25
538,29.2500,4
539,44.9189,37
540,42.8000,10
541,36.6250,8
542,34.7532,77
543,43.0000,8
544,24.0000,3
545,16.5000,2
546,34.0000,5
547,47.6552,29
548,38.4847,491
549,42.0909,11
550,59.0000,1
551,43.2000,5
552,36.4063,96
553,41.3333,6
554,42.0000,7
555,35.5946,74
556,38.6667,3
559,38.0588,68
560,47.0000,1
562,18.6667,3
563,21.0000,2
564,50.0667,15
565,20.5000,8
566,36.1573,89
567,32.6854,89
568,36.8286,3430
569,44.9091,44
570,33.7619,42
571,35.7941,34
572,32.5000,28
574,38.0845,71
575,41.6345,249
576,32.3496,246
577,37.7733,172
578,40.0855,117
579,48.1111,18
580,43.4971,173
581,35.1594,69
582,38.8600,450
583,34.3333,345
586,30.4000,5
592,41.1208,571
593,50.2271,1158
594,20.0909,11
597,36.2500,20
598,45.0000,5
599,45.0000,16
600,41.6000,10
601,36.3000,10
602,43.7500,4
603,40.1333,15
604,37.2542,59
605,43.3040,125
606,31.0189,106
607,26.4259,54
608,38.9767,43
610,38.7436,1377
611,37.8032,569
612,29.0769,13
613,39.9232,4841
616,41.1705,88
619,41.0179,56
620,42.3333,21
621,54.8333,6
622,40.1538,117
623,43.2083,48
625,47.4000,5
626,51.5000,2
627,34.6250,32
628,28.8571,7
629,35.8889,18
630,34.4286,14
631,29.0000,1
632,45.5000,8
633,49.5833,24
635,31.5481,104
636,43.1591,88
637,42.6526,95
638,40.1046,392
639,36.1359,184
640,39.6173,81
641,42.1290,93
642,32.4571,70
643,40.9780,91
644,36.4960,125
645,34.5197,127
646,37.8779,262
647,35.4019,214
649,33.2934,409
